title,accuracy,macro_f1,weighted_f1,batch_idx,dict_version
Before Update - Stream Batch 1,0.909,0.8843347995620134,0.9108444653172358,1,0
Before Update - Stream Batch 2,0.8304,0.8246782715115175,0.8432595747708649,2,0
Before Update - Stream Batch 3,0.8774,0.8677316934597342,0.8840042164148286,3,0
Before Update - Stream Batch 4,0.8884,0.8742204031702752,0.8955043639688259,4,1
Before Update - Stream Batch 5,0.8954,0.8692699822513459,0.8995698126073985,5,1
Before Update - Stream Batch 6,0.885,0.8599814564562005,0.8908680465269329,6,1
Before Update - Stream Batch 7,0.9138,0.8851496753351072,0.9155036038222465,7,2
Before Update - Stream Batch 8,0.902,0.8871047688229755,0.9075413917362172,8,2
Before Update - Stream Batch 9,0.9182,0.8810714903284516,0.9167464016442697,9,2
Before Update - Stream Batch 10,0.9232,0.9085596389123188,0.9258528543459995,10,3
Before Update - Stream Batch 11,0.9154,0.8886926544182243,0.9182256362126232,11,3
Before Update - Stream Batch 12,0.916,0.8899949625252378,0.9201335225006231,12,3
Before Update - Stream Batch 13,0.8938,0.8667455626533171,0.8985229576327362,13,4
Before Update - Stream Batch 14,0.8906,0.8811787280422003,0.8980218181717664,14,4
Before Update - Stream Batch 15,0.8848,0.8667898882058123,0.8906340404860547,15,4
Before Update - Stream Batch 16,0.9338,0.9103502646741697,0.9337188168310089,16,5
Before Update - Stream Batch 17,0.8842,0.8703428507154803,0.891107575023488,17,5
Before Update - Stream Batch 18,0.8064,0.8197918303091013,0.8284125590636054,18,5
Before Update - Stream Batch 19,0.9186,0.9046221359081303,0.9218941378322616,19,6
Before Update - Stream Batch 20,0.9216,0.8996508015764114,0.9223551788716761,20,6
Before Update - Stream Batch 21,0.9154,0.8911411994342615,0.9168235677380422,21,6
Before Update - Stream Batch 22,0.9062,0.8577693361586366,0.9056778762314661,22,7
Before Update - Stream Batch 23,0.933,0.9163010644964654,0.9346814837180601,23,7
Before Update - Stream Batch 24,0.8994,0.8728661503071317,0.9013526448784838,24,7
Before Update - Stream Batch 25,0.8978,0.8778231035404951,0.90306661194216,25,8
Before Update - Stream Batch 26,0.8674,0.8696399542964565,0.8771026213845182,26,8
Before Update - Stream Batch 27,0.9126,0.8983991867527045,0.9158176648744735,27,8
Before Update - Stream Batch 28,0.9152,0.8932199036410958,0.9183698830187652,28,9
Before Update - Stream Batch 29,0.8992,0.884208427329455,0.9037049480436641,29,9
Before Update - Stream Batch 30,0.8316,0.81995932998943,0.845887590291705,30,9
Before Update - Stream Batch 31,0.9054,0.8907884205616412,0.9107051157182439,31,10
Before Update - Stream Batch 32,0.9246,0.8997935672342078,0.9260356652723445,32,10
Before Update - Stream Batch 33,0.9152,0.8980726866674404,0.91797846505284,33,10
Before Update - Stream Batch 34,0.9004,0.8681968037144611,0.900616428343468,34,11
Before Update - Stream Batch 35,0.9034,0.8568017885008486,0.9036007344497601,35,11
Before Update - Stream Batch 36,0.9238,0.8961077333502334,0.9255556969151774,36,11
Before Update - Stream Batch 37,0.9094,0.8816531672895851,0.9085124901583402,37,12
Before Update - Stream Batch 38,0.927,0.8997193327199999,0.9260415970706845,38,12
Before Update - Stream Batch 39,0.91,0.8831147797556145,0.9129204117464291,39,12
Before Update - Stream Batch 40,0.9047619047619048,0.8564793143819589,0.9085093918588327,40,13
