title,accuracy,macro_f1,weighted_f1,batch_idx,dict_version
Before Update - Stream Batch 1,0.8708,0.8224719220606957,0.8747195685488943,1,0
Before Update - Stream Batch 2,0.8308,0.8031232339558295,0.8409695542057374,2,0
Before Update - Stream Batch 3,0.8792,0.8600580017806436,0.88425412972279,3,0
Before Update - Stream Batch 4,0.8518,0.820678681723656,0.8612719934219389,4,1
Before Update - Stream Batch 5,0.8346,0.8118079605685393,0.8485043005674284,5,1
Before Update - Stream Batch 6,0.82,0.8218787141307432,0.8334875896059873,6,1
Before Update - Stream Batch 7,0.864,0.8498185445130457,0.8712632098032793,7,2
Before Update - Stream Batch 8,0.8906,0.8667626902474523,0.896210699551909,8,2
Before Update - Stream Batch 9,0.8498,0.8003371087487934,0.8541099415738851,9,2
Before Update - Stream Batch 10,0.8958,0.8714842867226845,0.8999795635112939,10,3
Before Update - Stream Batch 11,0.7996,0.7913964854388829,0.8175296145481531,11,3
Before Update - Stream Batch 12,0.8468,0.8144890418650308,0.8605964891432044,12,3
Before Update - Stream Batch 13,0.824,0.8012981113847539,0.838097083057591,13,4
Before Update - Stream Batch 14,0.8594,0.8373074399411362,0.8687375091543821,14,4
Before Update - Stream Batch 15,0.8666,0.8494388770410121,0.8741621593629854,15,4
Before Update - Stream Batch 16,0.8746,0.8191922104108242,0.8761225699242561,16,5
Before Update - Stream Batch 17,0.8882,0.8684383328303398,0.89389712488685,17,5
Before Update - Stream Batch 18,0.8874,0.8791684125061553,0.8957242770070738,18,5
Before Update - Stream Batch 19,0.8684,0.8508506539884938,0.876566661154313,19,6
Before Update - Stream Batch 20,0.8966,0.8688292930294694,0.8994496039011041,20,6
Before Update - Stream Batch 21,0.8898,0.8734955051165243,0.8927238785587559,21,6
Before Update - Stream Batch 22,0.9004,0.8613979729867447,0.9043848764837912,22,7
Before Update - Stream Batch 23,0.9006,0.8745812273549074,0.9044016877303891,23,7
Before Update - Stream Batch 24,0.8746,0.8379792640471735,0.8772657813707184,24,7
Before Update - Stream Batch 25,0.8714,0.8538171126905888,0.8788677411404932,25,8
Before Update - Stream Batch 26,0.8412,0.8456859915097547,0.8538712002454211,26,8
Before Update - Stream Batch 27,0.8712,0.8547024198713401,0.8781709702351275,27,8
Before Update - Stream Batch 28,0.8762,0.8642802191394922,0.8843149112627614,28,9
Before Update - Stream Batch 29,0.8904,0.8601866626350594,0.8947654263596014,29,9
Before Update - Stream Batch 30,0.8452,0.8249644105511644,0.8573803398541142,30,9
Before Update - Stream Batch 31,0.8402,0.8316208917900341,0.8530285134809519,31,10
Before Update - Stream Batch 32,0.8886,0.8688607991486963,0.8933644917013246,32,10
Before Update - Stream Batch 33,0.881,0.8785992379419775,0.8892149295068484,33,10
Before Update - Stream Batch 34,0.9046,0.8684586436480237,0.9059280894096335,34,11
Before Update - Stream Batch 35,0.8994,0.8709789484568864,0.9019042365544807,35,11
Before Update - Stream Batch 36,0.8928,0.8656111513560556,0.8974015467547172,36,11
Before Update - Stream Batch 37,0.9088,0.8883074095800848,0.9096528394283047,37,12
Before Update - Stream Batch 38,0.8682,0.8579094487066146,0.8784968328245528,38,12
Before Update - Stream Batch 39,0.892,0.8638387634867939,0.8969386288088743,39,12
Before Update - Stream Batch 40,0.8935574229691877,0.8544949967282739,0.8990242886541878,40,13
