title,accuracy,macro_f1,weighted_f1,use_phishing_gate,phishing_min_prob,phishing_min_margin,batch_idx,dict_version
Before Update - Stream Batch 1,0.9118,0.8852476658791669,0.9125326628388745,True,0.55,0.08,1,0
Before Update - Stream Batch 2,0.86,0.8420690456110285,0.8667572612570986,True,0.55,0.08,2,0
Before Update - Stream Batch 3,0.8848,0.8702206730392976,0.8899787819282806,True,0.55,0.08,3,0
Before Update - Stream Batch 4,0.9008,0.8829255672298971,0.9060507722440552,True,0.55,0.08,4,1
Before Update - Stream Batch 5,0.9152,0.884037206924364,0.9164791067621594,True,0.55,0.08,5,1
Before Update - Stream Batch 6,0.8956,0.8666079175964776,0.8998861569419263,True,0.55,0.08,6,1
Before Update - Stream Batch 7,0.9186,0.8787134292580766,0.9179627752277012,True,0.55,0.08,7,2
Before Update - Stream Batch 8,0.927,0.9032827411546029,0.928570876834318,True,0.55,0.08,8,2
Before Update - Stream Batch 9,0.9244,0.884457885533974,0.921759153793101,True,0.55,0.08,9,2
Before Update - Stream Batch 10,0.9278,0.9110114595372393,0.929453269870929,True,0.55,0.08,10,3
Before Update - Stream Batch 11,0.9242,0.8944095850696376,0.9255696861744833,True,0.55,0.08,11,3
Before Update - Stream Batch 12,0.9364,0.9083412548561629,0.9376749646001846,True,0.55,0.08,12,3
Before Update - Stream Batch 13,0.906,0.8748826957508847,0.9089615129006119,True,0.55,0.08,13,4
Before Update - Stream Batch 14,0.9114,0.8925506392282505,0.9153810891129543,True,0.55,0.08,14,4
Before Update - Stream Batch 15,0.8906,0.8664868177519214,0.8951163113444103,True,0.55,0.08,15,4
Before Update - Stream Batch 16,0.9372,0.9122178591775778,0.9362983173460491,True,0.55,0.08,16,5
Before Update - Stream Batch 17,0.8908,0.8626097509795293,0.8955584738553868,True,0.55,0.08,17,5
Before Update - Stream Batch 18,0.8448,0.8478477233738608,0.859094016425273,True,0.55,0.08,18,5
Before Update - Stream Batch 19,0.9278,0.9099329635042319,0.9296103057593271,True,0.55,0.08,19,6
Before Update - Stream Batch 20,0.9252,0.9010126048245708,0.9251135187124421,True,0.55,0.08,20,6
Before Update - Stream Batch 21,0.9198,0.8916063136220949,0.9201924490080644,True,0.55,0.08,21,6
Before Update - Stream Batch 22,0.9114,0.8583180865311576,0.9096010203506092,True,0.55,0.08,22,7
Before Update - Stream Batch 23,0.94,0.9210890889902795,0.9406038469042698,True,0.55,0.08,23,7
Before Update - Stream Batch 24,0.9056,0.8745499011320492,0.9059982347346764,True,0.55,0.08,24,7
Before Update - Stream Batch 25,0.9098,0.8817084152326976,0.9128304493915471,True,0.55,0.08,25,8
Before Update - Stream Batch 26,0.8798,0.8766914061724167,0.8871277649724849,True,0.55,0.08,26,8
Before Update - Stream Batch 27,0.9234,0.905320283662744,0.9250441843654822,True,0.55,0.08,27,8
Before Update - Stream Batch 28,0.9288,0.8957870422374506,0.929663337847848,True,0.55,0.08,28,9
Before Update - Stream Batch 29,0.9088,0.8878314747970628,0.9115769630446521,True,0.55,0.08,29,9
Before Update - Stream Batch 30,0.8502,0.8269735273569548,0.8613966160886488,True,0.55,0.08,30,9
Before Update - Stream Batch 31,0.917,0.897339414243186,0.9203485515723845,True,0.55,0.08,31,10
Before Update - Stream Batch 32,0.9304,0.9017484125317585,0.9307762347038604,True,0.55,0.08,32,10
Before Update - Stream Batch 33,0.9236,0.9036959439043047,0.9251767423543115,True,0.55,0.08,33,10
Before Update - Stream Batch 34,0.9074,0.8621345483006623,0.9049223647964066,True,0.55,0.08,34,11
Before Update - Stream Batch 35,0.9144,0.8649411174717697,0.9132795722975068,True,0.55,0.08,35,11
Before Update - Stream Batch 36,0.9366,0.9043218032153533,0.9365685773597692,True,0.55,0.08,36,11
Before Update - Stream Batch 37,0.9182,0.8815254702558488,0.9146844945995081,True,0.55,0.08,37,12
Before Update - Stream Batch 38,0.9284,0.8979718894838334,0.9262841791329636,True,0.55,0.08,38,12
Before Update - Stream Batch 39,0.9158,0.8845522757094405,0.9176372503806514,True,0.55,0.08,39,12
Before Update - Stream Batch 40,0.9159663865546218,0.8655021802535448,0.9182865869210024,True,0.55,0.08,40,13
