title,batch_idx,dict_version,batch_accuracy,batch_macro_f1,batch_weighted_f1,batch_phishing_precision,batch_phishing_recall,batch_phishing_f1,river_cumulative_accuracy,river_cumulative_macro_f1,river_cumulative_weighted_f1,transformer_used_count,transformer_promote_count,transformer_demote_count,mean_transformer_phish_prob,prediction_mode
Before Update - Progressive Stream Batch 1,1,0,0.9186,0.8807033992060138,0.9203216494794105,0.7377892030848329,0.8130311614730878,0.7735849056603774,0.9186,0.8807033992060138,0.9203216494794104,1370,47,389,0.5639139413833618,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 2,2,0,0.8888,0.8415493160071857,0.8835289578693665,0.7738095238095238,0.5531914893617021,0.6451612903225806,0.9037,0.86276317691203,0.9026272897338162,716,38,125,0.673862636089325,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 3,3,0,0.9022,0.869941322919608,0.903819186783972,0.8611111111111112,0.7633378932968536,0.8092820884699057,0.9032,0.8642971457028609,0.9025827209226741,930,42,77,0.6956885457038879,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 4,4,1,0.9132,0.8683496395435517,0.9136135646632528,0.8244837758112095,0.7605442176870748,0.7912243453644727,0.9057,0.8651147115480966,0.9053197410743249,986,46,98,0.6918210983276367,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 5,5,1,0.9004,0.8482339345796325,0.8929486073423112,0.8504098360655737,0.5403645833333334,0.660828025477707,0.90464,0.8620645671967009,0.9030968462343767,735,46,36,0.6682987809181213,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 6,6,1,0.917,0.85844989163763,0.9185918936990122,0.7666151468315301,0.7689922480620155,0.7678018575851393,0.9067,0.8612401771089329,0.9056246065010031,1000,74,120,0.662685751914978,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 7,7,2,0.9314,0.8927172451820875,0.9326848413112176,0.8002680965147453,0.8396624472573839,0.8194921070693205,0.9102285714285714,0.8658653480256676,0.9095522162746938,1246,42,173,0.6110206246376038,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 8,8,2,0.9184,0.8952255511176723,0.9193401503891983,0.7806788511749347,0.8259668508287292,0.8026845637583893,0.91125,0.869510242527539,0.910791037967909,1458,52,258,0.5562596917152405,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 9,9,2,0.9242,0.8763333839089492,0.9255610144512226,0.7983978638184246,0.8113975576662144,0.8048452220726783,0.9126888888888889,0.8702695504447175,0.9124218592160442,1157,68,148,0.6576064825057983,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 10,10,3,0.9208,0.8730817892033546,0.9216759725659917,0.7804532577903682,0.7547945205479452,0.7674094707520891,0.9135,0.8704766867367217,0.9133213839884672,1439,80,131,0.5267458558082581,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 11,11,3,0.9256,0.8976022659162328,0.9269982154463315,0.7563451776649747,0.8453900709219858,0.7983924983255191,0.9146,0.8728817880036364,0.9145807686580961,1807,33,538,0.4617384970188141,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 12,12,3,0.9164,0.8696629375378542,0.9170162067188027,0.7805212620027435,0.7730978260869565,0.7767918088737201,0.91475,0.8726126980102894,0.914790456129871,1365,56,376,0.5531089901924133,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 13,13,4,0.9284,0.8838303769443381,0.9284603072980648,0.8429394812680115,0.7789613848202397,0.8096885813148789,0.9158,0.8735175480527279,0.9158353986574076,964,84,89,0.7246755361557007,hybrid_base_plus_transformer_specialist
