title,accuracy,macro_f1,weighted_f1,batch_idx,dict_version,model_update,risk_dict_update
Static Model - Stream Batch 1,0.909,0.8843347995620134,0.9108444653172358,1,0,False,False
Static Model - Stream Batch 2,0.9052,0.8838365588510246,0.9067776612539726,2,0,False,False
Static Model - Stream Batch 3,0.9112,0.8895211052704737,0.9117606289164176,3,0,False,False
Static Model - Stream Batch 4,0.9044,0.8824536321866291,0.9067167850666765,4,0,False,False
Static Model - Stream Batch 5,0.903,0.8767930747278332,0.9056318284175598,5,0,False,False
Static Model - Stream Batch 6,0.9008,0.8801697511789786,0.9025286626213512,6,0,False,False
Static Model - Stream Batch 7,0.902,0.882336011457463,0.9041854895047009,7,0,False,False
Static Model - Stream Batch 8,0.9084,0.8924978520162945,0.9104496902436977,8,0,False,False
Static Model - Stream Batch 9,0.9028,0.8811723172202536,0.905062518818752,9,0,False,False
Static Model - Stream Batch 10,0.8986,0.8775204892007331,0.9002192494498084,10,0,False,False
Static Model - Stream Batch 11,0.9114,0.8908463840538348,0.9137444238441891,11,0,False,False
Static Model - Stream Batch 12,0.9148,0.889061528906659,0.9169881918300653,12,0,False,False
Static Model - Stream Batch 13,0.903,0.8766876414564612,0.9046558972221442,13,0,False,False
Static Model - Stream Batch 14,0.9038,0.8834796373145517,0.9052509720358135,14,0,False,False
Static Model - Stream Batch 15,0.8978,0.8763356524647128,0.8997518771584102,15,0,False,False
Static Model - Stream Batch 16,0.9078,0.8852216103946104,0.9104285265609399,16,0,False,False
Static Model - Stream Batch 17,0.8998,0.8748134440309295,0.9018428292425149,17,0,False,False
Static Model - Stream Batch 18,0.9014,0.8814593561762417,0.90364326907059,18,0,False,False
Static Model - Stream Batch 19,0.906,0.8872736915613164,0.9076432611807773,19,0,False,False
Static Model - Stream Batch 20,0.902,0.8821149681412341,0.9033122936335763,20,0,False,False
Static Model - Stream Batch 21,0.903,0.8802976376218133,0.9044436160454643,21,0,False,False
Static Model - Stream Batch 22,0.9014,0.8802111895073059,0.9038807051946951,22,0,False,False
Static Model - Stream Batch 23,0.901,0.8806318481641178,0.902548920278415,23,0,False,False
Static Model - Stream Batch 24,0.899,0.8710679821436892,0.900967520589033,24,0,False,False
Static Model - Stream Batch 25,0.9012,0.87271976013209,0.9032343739918178,25,0,False,False
Static Model - Stream Batch 26,0.9046,0.8894440937574242,0.9056459622035887,26,0,False,False
Static Model - Stream Batch 27,0.9024,0.8840423817385863,0.9033874916630054,27,0,False,False
Static Model - Stream Batch 28,0.9008,0.8786892261238881,0.902586400457815,28,0,False,False
Static Model - Stream Batch 29,0.8986,0.8745160963480001,0.9003355748009991,29,0,False,False
Static Model - Stream Batch 30,0.904,0.8809762589168129,0.9053847110683584,30,0,False,False
Static Model - Stream Batch 31,0.898,0.8754431419878275,0.9003891403163152,31,0,False,False
Static Model - Stream Batch 32,0.9076,0.8818454597921652,0.9091485061808655,32,0,False,False
Static Model - Stream Batch 33,0.9058,0.8823097011832022,0.9069097971960075,33,0,False,False
Static Model - Stream Batch 34,0.9098,0.8880533340954622,0.9119361588844126,34,0,False,False
Static Model - Stream Batch 35,0.9058,0.8880948681926657,0.9077488120600623,35,0,False,False
Static Model - Stream Batch 36,0.9086,0.8827624625740731,0.9100226853206663,36,0,False,False
Static Model - Stream Batch 37,0.9114,0.8891912789172789,0.9126277707144931,37,0,False,False
Static Model - Stream Batch 38,0.9056,0.8797689824416421,0.9074352520067533,38,0,False,False
Static Model - Stream Batch 39,0.901,0.8746150067397307,0.9028761078915172,39,0,False,False
Static Model - Stream Batch 40,0.9243697478991597,0.898842734236162,0.9265092649795341,40,0,False,False
